Timestamp,Algorithm,Seed,Mean Reward,Std Reward,Training Time,learning_rate,gamma,buffer_size,batch_size,train_freq,target_update_interval,exploration_fraction,exploration_final_eps,n_steps,vf_coef,ent_coef,n_epochs
2024-04-16 21:02:38,DQN,649,-167.2,285.613305012214,462.9266192913056,1.1555069851242995e-05,0.8051759771112633,7434.0,199.0,5.0,3213.0,0.2304534058738439,0.035829800332872135,,,,
2024-04-16 21:07:04,DQN,675,-390.2,126.23375142963944,265.0630168914795,0.0010404693619890705,0.9785252201401643,7388.0,219.0,84.0,478.0,0.36664322169162733,0.08479318946093366,,,,
2024-04-16 21:09:53,DQN,211,-28.4,172.02046389892104,168.82125973701477,0.0004302607350277162,0.8694415846602264,5901.0,82.0,31.0,813.0,0.28765758713378564,0.08953881756931362,,,,
2024-04-16 21:15:31,DQN,792,-828.0,0.6324555320336759,337.904417514801,0.009646482101185178,0.8066303750117947,7580.0,141.0,90.0,2536.0,0.25654441012083307,0.0925061481067511,,,,
2024-04-16 21:17:52,DQN,873,189.4,38.265389061134606,140.1903350353241,1.4767613795346891e-05,0.8774076802933031,9494.0,153.0,71.0,2569.0,0.48018002086157896,0.03576857723349592,,,,
2024-04-16 21:23:21,DQN,783,-771.0,120.5022821360658,327.7369101047516,1.697661667571632e-05,0.9621576227143052,8223.0,180.0,88.0,4205.0,0.16460098745727075,0.040779373062537566,,,,
2024-04-16 21:25:58,DQN,785,76.8,172.56001854427345,157.13907647132874,0.0012317173507037425,0.8375801025780067,9825.0,194.0,65.0,4858.0,0.4284080938582161,0.06975098657222291,,,,
2024-04-16 21:30:53,DQN,620,-567.2,140.100535330883,293.53767442703247,1.8711450175073035e-05,0.8530284995092912,5849.0,224.0,73.0,439.0,0.19829569690678261,0.05651023395963798,,,,
2024-04-16 21:36:14,DQN,678,-769.2,119.61504922040535,320.4347960948944,1.3765833519859487e-05,0.8761251826555739,9168.0,80.0,67.0,4905.0,0.23166846348668257,0.04604988513693522,,,,
2024-04-16 21:38:52,DQN,840,272.6,4.363484845854286,157.32701754570007,3.251565021639682e-05,0.9396320734154784,7245.0,154.0,36.0,1927.0,0.33090319440550975,0.0817357359600779,,,,
2024-04-16 21:42:56,DQN,834,-338.2,191.17886912522525,244.0501997470856,6.562341332179039e-05,0.931953622155159,6676.0,120.0,35.0,1537.0,0.3600835013906724,0.011421393417236261,,,,
2024-04-16 21:45:25,DQN,951,230.4,16.304600577751057,148.3093979358673,7.962306286990544e-05,0.9164030697013742,8841.0,158.0,46.0,2221.0,0.4707256190113489,0.021164421076355473,,,,
2024-04-16 21:48:48,DQN,228,-40.6,205.241906052346,201.6827199459076,8.935090546633835e-05,0.9208457368050958,8582.0,36.0,45.0,1719.0,0.36175143588415903,0.0181430826116753,,,,
2024-04-16 21:52:46,DQN,200,186.8,62.435246455828135,237.3502447605133,7.208988734093282e-05,0.9408039489184579,8716.0,253.0,15.0,1575.0,0.11128920713904991,0.07058565019912141,,,,
2024-04-16 21:56:00,DQN,20,22.8,110.75450329444848,193.77663850784305,0.00016143844864871434,0.901752001288615,6536.0,109.0,52.0,2780.0,0.49495812261380656,0.0225336882381311,,,,
2024-04-16 21:59:12,DQN,765,157.6,141.54801305564132,191.2408962249756,4.816097355088032e-05,0.9969092717054956,5095.0,159.0,24.0,3535.0,0.42584705733493433,0.07177255449747402,,,,
2024-04-16 22:01:35,DQN,94,102.2,41.42656152759965,141.97103309631348,0.0002476405040837836,0.9088372559791363,7895.0,116.0,45.0,2107.0,0.3115901566104968,0.05300899752756809,,,,
2024-04-16 22:04:19,DQN,401,280.0,118.911731969558,163.5405240058899,3.72725807971123e-05,0.9431425351174538,6885.0,174.0,53.0,1316.0,0.4143024954304815,0.09875131296092345,,,,
2024-04-16 22:08:36,DQN,532,-340.0,216.3645072556957,256.9533724784851,3.511722812358451e-05,0.9526892866606755,6838.0,180.0,57.0,1162.0,0.420503752612651,0.09922348852741827,,,,
2024-04-16 22:12:23,DQN,110,113.0,211.04217587960943,225.77779865264893,3.0788974740890376e-05,0.973143350348988,6066.0,242.0,24.0,134.0,0.32571394881046134,0.0799935299503276,,,,
2024-04-16 22:25:43,DQN,536,383.4,53.697672202805954,799.2473125457764,0.0004539914201138521,0.9451692196858424,7044.0,93.0,1.0,1013.0,0.3878448594734505,0.09971569275771168,,,,
2024-04-16 22:37:53,DQN,594,192.8,217.11508469012463,729.8856942653656,0.0006944436252013527,0.9438821152336697,7023.0,76.0,1.0,1240.0,0.3841590216304319,0.09748364231767882,,,,
