Timestamp,Algorithm,Seed,Hyperparameters,Mean Reward,Std Reward,Training Time
2024-04-16 21:59:12,DQN,765,"{'learning_rate': 4.816097355088032e-05, 'gamma': 0.9969092717054956, 'buffer_size': 5095, 'batch_size': 159, 'train_freq': 24, 'target_update_interval': 3535, 'exploration_fraction': 0.42584705733493433, 'exploration_final_eps': 0.07177255449747402, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",157.6,141.54801305564132,191.2408962249756
2024-04-16 22:01:35,DQN,94,"{'learning_rate': 0.0002476405040837836, 'gamma': 0.9088372559791363, 'buffer_size': 7895, 'batch_size': 116, 'train_freq': 45, 'target_update_interval': 2107, 'exploration_fraction': 0.3115901566104968, 'exploration_final_eps': 0.05300899752756809, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",102.2,41.42656152759965,141.97103309631348
2024-04-16 22:04:19,DQN,401,"{'learning_rate': 3.72725807971123e-05, 'gamma': 0.9431425351174538, 'buffer_size': 6885, 'batch_size': 174, 'train_freq': 53, 'target_update_interval': 1316, 'exploration_fraction': 0.4143024954304815, 'exploration_final_eps': 0.09875131296092345, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",280.0,118.91173196955799,163.5405240058899
2024-04-16 22:08:36,DQN,532,"{'learning_rate': 3.511722812358451e-05, 'gamma': 0.9526892866606755, 'buffer_size': 6838, 'batch_size': 180, 'train_freq': 57, 'target_update_interval': 1162, 'exploration_fraction': 0.420503752612651, 'exploration_final_eps': 0.09922348852741827, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-340.0,216.3645072556957,256.9533724784851
2024-04-16 22:12:23,DQN,110,"{'learning_rate': 3.0788974740890376e-05, 'gamma': 0.973143350348988, 'buffer_size': 6066, 'batch_size': 242, 'train_freq': 24, 'target_update_interval': 134, 'exploration_fraction': 0.32571394881046134, 'exploration_final_eps': 0.0799935299503276, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",113.0,211.04217587960943,225.77779865264893
2024-04-16 22:25:43,DQN,536,"{'learning_rate': 0.0004539914201138521, 'gamma': 0.9451692196858424, 'buffer_size': 7044, 'batch_size': 93, 'train_freq': 1, 'target_update_interval': 1013, 'exploration_fraction': 0.3878448594734505, 'exploration_final_eps': 0.09971569275771168, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",383.4,53.697672202805954,799.2473125457764
2024-04-16 22:37:53,DQN,594,"{'learning_rate': 0.0006944436252013527, 'gamma': 0.9438821152336697, 'buffer_size': 7023, 'batch_size': 76, 'train_freq': 1, 'target_update_interval': 1240, 'exploration_fraction': 0.3841590216304319, 'exploration_final_eps': 0.09748364231767882, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",192.8,217.11508469012466,729.8856942653656
2024-04-16 22:44:03,DQN,916,"{'learning_rate': 0.0033567678676336837, 'gamma': 0.9993643485653999, 'buffer_size': 6223, 'batch_size': 134, 'train_freq': 15, 'target_update_interval': 899, 'exploration_fraction': 0.3966840591480166, 'exploration_final_eps': 0.08123379260525836, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-770.2,120.11228080425415,369.4259030818939
2024-04-16 22:48:59,DQN,316,"{'learning_rate': 0.0001736408931076694, 'gamma': 0.9325126268291076, 'buffer_size': 7078, 'batch_size': 46, 'train_freq': 99, 'target_update_interval': 1976, 'exploration_fraction': 0.34294617257212706, 'exploration_final_eps': 0.09026551907139138, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-778.0,147.19103233553327,294.87192845344543
2024-04-16 22:51:18,DQN,105,"{'learning_rate': 0.00041515887598545713, 'gamma': 0.9606198295464566, 'buffer_size': 5387, 'batch_size': 95, 'train_freq': 56, 'target_update_interval': 1249, 'exploration_fraction': 0.4454298599598871, 'exploration_final_eps': 0.09946647105961892, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",170.8,71.93163420915724,138.43665027618408
2024-04-16 22:53:47,DQN,493,"{'learning_rate': 0.0022975712387253416, 'gamma': 0.9774416699588145, 'buffer_size': 7697, 'batch_size': 60, 'train_freq': 32, 'target_update_interval': 602, 'exploration_fraction': 0.28711150892413806, 'exploration_final_eps': 0.07710831956128035, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",346.4,38.202617711355856,148.97220659255981
2024-04-16 22:56:33,DQN,853,"{'learning_rate': 0.0025357060976558053, 'gamma': 0.9753896855961306, 'buffer_size': 7885, 'batch_size': 52, 'train_freq': 11, 'target_update_interval': 575, 'exploration_fraction': 0.29575485579795746, 'exploration_final_eps': 0.06001168495447724, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",168.2,21.93080025899648,165.43621444702148
2024-04-16 23:00:20,DQN,198,"{'learning_rate': 0.002834636753789199, 'gamma': 0.9818573465427551, 'buffer_size': 8178, 'batch_size': 63, 'train_freq': 27, 'target_update_interval': 963, 'exploration_fraction': 0.39751582793722134, 'exploration_final_eps': 0.07528709552807857, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-140.6,151.95736244091628,225.99000787734985
2024-04-16 23:02:46,DQN,84,"{'learning_rate': 0.006514780666731348, 'gamma': 0.8873666218065338, 'buffer_size': 6381, 'batch_size': 98, 'train_freq': 36, 'target_update_interval': 379, 'exploration_fraction': 0.2715386630493097, 'exploration_final_eps': 0.06377283058902103, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",70.6,19.10601999370879,144.71645379066467
2024-04-16 23:06:19,DQN,810,"{'learning_rate': 0.0015571212408217025, 'gamma': 0.9551096338302562, 'buffer_size': 7668, 'batch_size': 32, 'train_freq': 7, 'target_update_interval': 3152, 'exploration_fraction': 0.4520798235221703, 'exploration_final_eps': 0.09183573901000545, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",161.8,93.78997814265658,212.40693974494934
2024-04-16 23:09:17,DQN,320,"{'learning_rate': 0.0007000138571045349, 'gamma': 0.9243929184158771, 'buffer_size': 5594, 'batch_size': 65, 'train_freq': 19, 'target_update_interval': 1452, 'exploration_fraction': 0.20561347297822175, 'exploration_final_eps': 0.08808710748368051, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",69.4,178.36098228031827,177.74412751197815
2024-04-16 23:13:09,DQN,543,"{'learning_rate': 2.457517177131308e-05, 'gamma': 0.947084911121252, 'buffer_size': 7377, 'batch_size': 176, 'train_freq': 44, 'target_update_interval': 120, 'exploration_fraction': 0.3285359724110431, 'exploration_final_eps': 0.07941107635580694, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-238.6,549.3041416191944,231.5492262840271
2024-04-16 23:17:26,DQN,54,"{'learning_rate': 0.00011462669524933338, 'gamma': 0.9677064881138457, 'buffer_size': 7214, 'batch_size': 199, 'train_freq': 38, 'target_update_interval': 1822, 'exploration_fraction': 0.3461556841201277, 'exploration_final_eps': 0.08444141108041468, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-284.2,173.07732376021994,256.3732395172119
2024-04-16 23:21:47,DQN,910,"{'learning_rate': 0.0005797799013816829, 'gamma': 0.9855500146824125, 'buffer_size': 6854, 'batch_size': 130, 'train_freq': 31, 'target_update_interval': 833, 'exploration_fraction': 0.3802675309424087, 'exploration_final_eps': 0.09446821649365358, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-382.0,160.32841295291362,260.3706293106079
